,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),0 to 04 years,05 to 09 years,10 to 14 years,100 years and over,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 to 89 years,90 to 94 years,95 to 99 years,  Bicycle,Census families in private households by family size,  2 persons,  3 persons,  4 persons,  5 or more persons,  Couples without children
Agincourt North,"3,840","3,705","11,305","4,230","6,045",925,1280.0,1315.0,1255.0,10.0,1705.0,1990.0,2020.0,1770.0,1455.0,1670.0,1950.0,2450.0,2225.0,1995.0,1910.0,1280.0,1065.0,865.0,560.0,260.0,85.0,70,8430,3570,2390,1875,605,2520
Agincourt South-Malvern West,"3,075","3,360","9,965","3,265","4,105",555,1105.0,1035.0,935.0,0.0,1470.0,1895.0,2020.0,1655.0,1340.0,1355.0,1645.0,1945.0,1765.0,1505.0,1320.0,875.0,755.0,590.0,360.0,145.0,40.0,35,6650,2970,1835,1325,520,2095
Alderwood,"1,760","1,235","5,220","1,825","2,015",320,680.0,595.0,480.0,5.0,575.0,665.0,705.0,840.0,905.0,865.0,870.0,1030.0,1025.0,790.0,625.0,415.0,335.0,315.0,195.0,105.0,15.0,65,3480,1605,900,755,220,1175
Annex,"2,360","3,750","15,040","3,480","5,910","1,040",925.0,765.0,680.0,30.0,1015.0,2735.0,4345.0,3285.0,2095.0,1750.0,1705.0,1855.0,1770.0,1695.0,1730.0,1340.0,1050.0,760.0,575.0,340.0,115.0,"1,675",6710,4475,1195,805,215,3830
Banbury-Don Mills,"3,605","2,730","10,810","3,555","6,975","1,640",1070.0,1260.0,1275.0,25.0,1375.0,1350.0,1390.0,1595.0,1630.0,1790.0,2180.0,2225.0,1935.0,1625.0,1670.0,1360.0,1235.0,1085.0,955.0,535.0,125.0,65,7600,3925,1760,1500,435,3015
Bathurst Manor,"2,325","1,940","6,655","2,030","2,940",710,835.0,720.0,745.0,15.0,895.0,1040.0,945.0,1060.0,1195.0,1010.0,1185.0,1235.0,1170.0,855.0,795.0,500.0,480.0,450.0,375.0,245.0,65.0,15,4315,1945,1115,925,320,1385
Bay Street Corridor,"1,695","6,860","13,065","1,760","2,420",330,970.0,465.0,235.0,0.0,1375.0,5490.0,4555.0,3340.0,1835.0,1090.0,1055.0,1205.0,975.0,800.0,740.0,605.0,450.0,320.0,215.0,85.0,5.0,325,5100,3550,965,485,105,2950
Bayview Village,"2,415","2,505","10,310","2,540","3,615",610,860.0,800.0,760.0,0.0,945.0,1550.0,2220.0,2210.0,1665.0,1445.0,1385.0,1370.0,1335.0,1215.0,1060.0,785.0,620.0,545.0,380.0,190.0,35.0,30,6070,3255,1570,980,255,2570
Bayview Woods-Steeles,"1,515","1,635","4,490","1,825","3,685",740,390.0,525.0,590.0,10.0,750.0,880.0,815.0,570.0,540.0,695.0,925.0,950.0,975.0,850.0,925.0,715.0,710.0,585.0,430.0,235.0,75.0,10,3795,1790,1005,790,210,1375
Bedford Park-Nortown,"4,555","3,210","8,410","3,075","3,980",660,1280.0,1575.0,1700.0,10.0,1720.0,1490.0,880.0,1095.0,1375.0,1500.0,1745.0,1830.0,1675.0,1400.0,1220.0,905.0,660.0,555.0,405.0,200.0,50.0,90,6085,2425,1190,1565,885,1975
Beechborough-Greenbrook,"1,120",855,"2,750",885,965,145,370.0,395.0,350.0,0.0,415.0,440.0,460.0,440.0,465.0,395.0,495.0,500.0,460.0,415.0,275.0,235.0,155.0,150.0,70.0,70.0,0.0,20,1745,830,490,300,135,420
Bendale,"4,550","4,605","12,050","3,535","5,250",900,1505.0,1500.0,1540.0,20.0,1855.0,2755.0,2290.0,2125.0,1760.0,1785.0,1980.0,2100.0,1935.0,1595.0,1445.0,1075.0,980.0,855.0,580.0,235.0,75.0,45,7860,3610,1915,1460,885,2600
Birchcliffe-Cliffside,"3,345","2,440","9,075","3,520","3,910",630,1080.0,1150.0,1110.0,10.0,1140.0,1285.0,1085.0,1235.0,1390.0,1610.0,1730.0,2065.0,1905.0,1620.0,1330.0,870.0,590.0,490.0,375.0,195.0,65.0,140,6075,2940,1430,1330,365,2080
Black Creek,"4,600","3,290","8,525","2,425","2,870",370,1500.0,1585.0,1515.0,15.0,1585.0,1700.0,1570.0,1440.0,1310.0,1320.0,1440.0,1475.0,1370.0,1075.0,850.0,640.0,575.0,410.0,225.0,120.0,20.0,85,5650,2220,1455,1160,810,1065
Blake-Jones,"1,405",885,"3,605",940,895,115,525.0,490.0,390.0,5.0,450.0,435.0,490.0,615.0,675.0,635.0,590.0,600.0,570.0,380.0,315.0,195.0,150.0,105.0,80.0,30.0,10.0,305,2100,1005,505,405,180,695
Briar Hill-Belgravia,"1,855","1,655","6,740","1,925","2,100",310,685.0,575.0,605.0,0.0,755.0,915.0,1075.0,1135.0,1115.0,1030.0,1150.0,1200.0,1090.0,835.0,715.0,420.0,375.0,270.0,200.0,85.0,15.0,60,3905,1840,1095,770,220,1195
