not_matching,fixed_smart
Beverly  St / Dundas St W,Beverly  St / Dundas St W
Simcoe St / Wellington St W,Simcoe St / Wellington St W
University Ave / Gerrard St W,University Ave / Gerrard St W
Bremner Blvd / Spadina Ave,Bremner Blvd / Spadina Ave
Simcoe St / Dundas St W,Simcoe St / Dundas St W
424 Wellington St. W,424 Wellington St. W
Widmer St / Adelaide St ,Widmer St / Adelaide St 
Dockside Dr / Queens Quay E (Sugar Beach),Dockside Dr / Queens Quay E (Sugar Beach)
Princess St / Adelaide St,Princess St / Adelaide St
HTO Park (Queen's Quay W),HTO Park (Queen's Quay W)
College St W / Huron St,College St W / Huron St
Queens Park / Bloor St W,Queens Park / Bloor St W
Bloor St / Brunswick Ave,Bloor St / Brunswick Ave
Dundas St / Yonge St,Dundas St / Yonge St
Ontario Place Blvd / Remembrance Dr,Ontario Place Blvd / Remembrance Dr
College St W / Borden St,College St W / Borden St
Front St / Bay St (North Side),Front St / Bay St (North Side)
Sherbourne St / Wellesley St,Sherbourne St / Wellesley St
Rusholme Park Cres / College St W,Rusholme Park Cres / College St W
Fort York  Blvd / Capreol Crt,Fort York  Blvd / Capreol Crt
College St W / Markham St,College St W / Markham St
University Ave / College St,University Ave / College St
College St W / Major St,College St W / Major St
College St W / Crawford St,College St W / Crawford St
St George St / Bloor St W,St George St / Bloor St W
Victoria St / Gould St (Ryerson University),Victoria St / Gould St (Ryerson University)
Seaton St / Dundas St E,Seaton St / Dundas St E
Beverly St / College St W,Beverly St / College St W
University Ave / King St W,University Ave / King St W
Bay St / Bloor St W,Bay St / Bloor St W
Temperance St / Yonge St,Temperance St / Yonge St
Parliament St / Bloor St E,Parliament St / Bloor St E
Wellesley St E / Yonge St Green P,Wellesley St E / Yonge St Green P
Queen St W / Shaw St,Queen St W / Shaw St
Spadina Ave / Sussex Ave,Spadina Ave / Sussex Ave
Front St / Yonge St (Hockey Hall of Fame),Front St / Yonge St (Hockey Hall of Fame)
Queen St E / Berkely St,Queen St E / Berkely St
Lower Jarvis St / The Esplanade,Lower Jarvis St / The Esplanade
Bathurst St / Queens Quay W,Bathurst St / Queens Quay W
Bloor GO / UP Station/ Rail Path,Bloor GO / UP Station/ Rail Path
Essex St / Christie St,Essex St / Christie St
25 York St (ACC/Union Station South),25 York St (ACC/Union Station South)
Boston Ave / Queen St E,Boston Ave / Queen St E
Woodbine Subway Green P (Cedarvale Ave),Woodbine Subway Green P (Cedarvale Ave)
Castle Frank Station,Castle Frank Station
Margueretta St / College St W,Margueretta St / College St W
Stephenson Ave / Main St,Stephenson Ave / Main St
Ossington Ave / College St W,Ossington Ave / College St W
Landsdowne Subway Green P,Landsdowne Subway Green P
Bay St / Davenport Rd,Bay St / Davenport Rd
Wellesley St E / Yonge St (Green P),Wellesley St E / Yonge St (Green P)
Beverly St / College St,Beverly St / College St
Michael Sweet Ave / St. Patrick St,Michael Sweet Ave / St. Patrick St
Lakeshore Blvd W / Ellis Ave,Lakeshore Blvd W / Ellis Ave
Lakeshore Blvd W / The Boulevard Club,Lakeshore Blvd W / The Boulevard Club
Dovercourt Rd / Harrison St - SMART,Dovercourt Rd / Harrison St
Roxton Rd / College St,Roxton Rd / College St
Lake Shore Blvd W / Ontario Dr(Ontario Place),Lake Shore Blvd W / Ontario Dr(Ontario Place)
Borden St / Bloor St W - SMART,Borden St / Bloor St W
Lansdowne Subway Green P,Lansdowne Subway Green P
York St / King St W - SMART,York St / King St W
Queen St E / Larchmount Ave,Queen St E / Larchmount Ave
Margueretta St / College St,Margueretta St / College St
Fringe Next Stage - 7219,Fringe Next Stage - 7219
Summerhill Ave / MacLennan Ave - SMART,Summerhill Ave / MacLennan Ave
Pears Av / Avenue Rd,Pears Av / Avenue Rd
St. James Park (King St. E.),St. James Park (King St. E.)
Lower Spadina Ave / Lakeshore Blvd,Lower Spadina Ave / Lakeshore Blvd
25 York St   Union Station South,25 York St   Union Station South
Ontario Place Blvd / Lakeshore Blvd W,Ontario Place Blvd / Lakeshore Blvd W
Lakeshore Blvd W / Windermere Ave,Lakeshore Blvd W / Windermere Ave
Lakeshore Blvd W / Ontario Dr,Lakeshore Blvd W / Ontario Dr
King St W / Charlotte St,King St W / Charlotte St
Lakeshore Blvd E / Parliament St,Lakeshore Blvd E / Parliament St
Davenport Rd / Lansdowne Ave.,Davenport Rd / Lansdowne Ave.
Lakeshore Blvd E /Leslie St,Lakeshore Blvd E /Leslie St
123 Queen St W,123 Queen St W
King St W / Portland St,King St W / Portland St
King St W / Brant St,King St W / Brant St
Gailbraith Rd / King s College Cr. (U of T),Gailbraith Rd / King s College Cr. (U of T)
Roehampton Ave / Yonge St,Roehampton Ave / Yonge St
Queen St. E / Woodward Av,Queen St. E / Woodward Av
Lakeshore Blvd E / Knox Ave,Lakeshore Blvd E / Knox Ave
Coxwell Ave/  Lakeshore Blvd E,Coxwell Ave/  Lakeshore Blvd E
King St W / Charlotte St (West),King St W / Charlotte St (West)
Gailbraith Rd / King’s College Cr. (U of T),Gailbraith Rd / King’s College Cr. (U of T)
Chester Station (Green P),Chester Station (Green P)
Wellington St W / Bathurst St,Wellington St W / Bathurst St
York St / Harbour St,York St / Harbour St
York St / Lake Shore Blvd W,York St / Lake Shore Blvd W
Shaw St / Dupont St,Shaw St / Dupont St
Belmont St / Davenport Rd - SMART,Belmont St / Davenport Rd
Westmount Ave / St Clair Ave W - SMART,Westmount Ave / St Clair Ave W
Sheridan Ave / Dundas St W - SMART,Sheridan Ave / Dundas St W
1 Market St,1 Market St
Bloor St W / Gladstone Ave,Bloor St W / Gladstone Ave
Lynn Williams St / East Liberty St,Lynn Williams St / East Liberty St
Shaw St / Essex St,Shaw St / Essex St
University Ave / Gerrard St W (West Side),University Ave / Gerrard St W (West Side)
Elm St/ University Ave (East),Elm St/ University Ave (East)
Rosedale Station,Rosedale Station
Torrens Ave / Broadview Ave,Torrens Ave / Broadview Ave
Riverview Gardens,Riverview Gardens
O'Connor Dr / Curity Ave,O'Connor Dr / Curity Ave
Braemar Ave / Eglinton Ave W -SMART,Braemar Ave / Eglinton Ave W -SMART
Greenwood Subway Station,Greenwood Subway Station
Holland Park Ave / Oakwood Ave,Holland Park Ave / Oakwood Ave
Guildwood GO Station (North),Guildwood GO Station (North)
135 Queen’s Wharf - SMART,135 Queen’s Wharf
Mutual St / Shuter St,Mutual St / Shuter St
25 York St â€“ Union Station South,25 York St â€“ Union Station South
Lake Shore Blvd E / Cherry St,Lake Shore Blvd E / Cherry St
Gailbraith Rd / KingGÃ‡Ã–s College Cr. (U of T),Gailbraith Rd / KingGÃ‡Ã–s College Cr. (U of T)
Greenwood Subway Station - SMART,Greenwood Subway Station
Sheridan Ave / Dundas St W,Sheridan Ave / Dundas St W
25 York St GÃ‡Ã´ Union Station South,25 York St GÃ‡Ã´ Union Station South
Riverview Gardens - SMART,Riverview Gardens
25 York St GÇô Union Station South,25 York St GÇô Union Station South
Gailbraith Rd / KingGÇÖs College Cr. (U of T),Gailbraith Rd / KingGÇÖs College Cr. (U of T)
