not_matching,Neighbourhood
Morse St / Eastern Ave - SMART,South Riverdale 
Simcoe St / Michael Sweet Ave - SMART,Kensington-Chinatown 
80 Clinton St (North of College) - SMART,Palmerston-Little Italy 
424 Wellington St W - SMART,Waterfront Communities-The Island 
Primrose Ave / Davenport Rd - SMART,Dovercourt-Wallace Emerson-Junction 
Bridgeman Ave / Kendal Ave - SMART,Casa Loma 
Fulton Ave / Pape Ave - SMART,Broadview North 
Western Battery Rd / Pirandello St - SMART,Niagara 
King St W / Crawford St - SMART,Niagara 
Howard St / Rose Ave - SMART,North St.James Town 
Concord Ave / Bloor St W - SMART,Dovercourt-Wallace Emerson-Junction 
High Park Subway - SMART,High Park North 
Eastwood Rd / Coxwell Ave - SMART,Woodbine Corridor 
Pacific Ave / Glenlake Ave - SMART,High Park North 
Via Italia / Mackay Ave - SMART,Corso Italia-Davenport 
Rushton Rd / St Clair Ave W - SMART,Wychwood 
Trent Ave / Danforth Ave - SMART,East End-Danforth 
Keele St / Annette St - SMART,Junction Area 
Carlaw Ave / Danforth Ave - SMART,North Riverdale 
Merton St / Al Green Ln - SMART,Mount Pleasant West 
St Clair Ave W / Winona Ave - SMART,Wychwood 
Symington Ave / Dupont St - SMART,Dovercourt-Wallace Emerson-Junction 
Lascelles Blvd / Eglinton Ave W - SMART,Yonge-Eglinton 
The Queensway at South Kingsway - SMART,High Park-Swansea 
Dundas St W / Watkinson Ave - SMART,Junction Area 
Gerrard St E / Leslie St - SMART,South Riverdale 
University Ave / Armoury St - SMART,Kensington-Chinatown 
Woodbine Subway Station - SMART,Danforth East York 
Keele St / Vine Ave - SMART,Junction Area 
Danforth Ave / Sibley Ave - SMART,Taylor-Massey 
Glendonwynne Ave / Bloor St W - SMART,High Park North 
Neil McLellan Park - SMART,Runnymede-Bloor West Village 
324 Cherry St - SMART,Waterfront Communities-The Island 
Cosburn Ave / Cedarvale Ave - SMART,Woodbine-Lumsden 
Goodwood Park Ct / Dentonia Park - SMART,Taylor-Massey 
Hillsdale Ave W / Yonge St - SMART,Yonge-Eglinton 
Sherbourne St N / Elm Ave - SMART,Rosedale-Moore Park 
Foster Pl / Elizabeth St - SMART,Bay Street Corridor 
Housey St / Dan Leckie Way - SMART,Waterfront Communities-The Island 
Wallace Ave / Pauline Ave - SMART,Dovercourt-Wallace Emerson-Junction 
The Esplanade / Hahn Pl - SMART,Waterfront Communities-The Island 
Fennings St / Queen St W - SMART,Trinity-Bellwoods 
Spadina Rd / Austin Terrace - SMART,Casa Loma 
Humber College - SMART,New Toronto 
Orde St / McCaul St - SMART,Kensington-Chinatown 
Alvin Ave / St Clair Ave E - SMART,Rosedale-Moore Park 
Roehampton St / Bayview Ave - SMART,Mount Pleasant East 
Fairmount Park - SMART,Woodbine Corridor 
Baldwin St / Henry St - SMART,Kensington-Chinatown 
Runnymede Rd / Annette St - SMART,Runnymede-Bloor West Village 
Emerson Ave / Bloor St W - SMART,Dovercourt-Wallace Emerson-Junction 
Kingston Rd / Beech Ave - SMART,The Beaches 
Priscilla  Ave / Dundas St W - SMART,Runnymede-Bloor West Village 
Annette St / Jane St - SMART,Runnymede-Bloor West Village 
St Columba Pl / St Clair Ave E - SMART,O'Connor-Parkview 
Symington Ave / Davenport Rd - SMART,Weston-Pellam Park 
Fleming Cres / Bayview Ave - SMART,Leaside-Bennington 
Lumsden Ave / Eastdale Ave - SMART,Taylor-Massey 
Palmerston Ave / Dundas St W - SMART,Trinity-Bellwoods 
Woodbine Ave / O'Connor Dr - SMART,Old East York 
439 Sherbourne St - SMART,Cabbagetown-South St.James Town 
Vaughan Rd / Oakwood Ave - SMART,Oakwood Village 
The Queensway / High St - SMART,Stonegate-Queensway 
Cosburn Ave / Durant Ave - SMART,Danforth East York 
Davisville Ave / Pailton Cres - SMART,Mount Pleasant West 
Lake Shore Blvd W / Twenty Fourth St - SMART,Long Branch 
St Clarens Ave / Shirley Ave - SMART,Little Portugal 
St Clair Ave W / Gunns Rd - SMART,Junction Area 
Chiltern Hill Rd / Eglinton Ave W - SMART,Humewood-Cedarvale 
Elwood Blvd / Avenue Rd - SMART,Yonge-Eglinton 
Glenwood Ave / Runnymede Rd - SMART,High Park North 
St Clair Ave W / Castleton Ave - SMART,Rockcliffe-Smythe 
Victoria Park Ave / Danforth Ave - SMART,Taylor-Massey 
Teddington Park Ave - SMART,Lawrence Park North 
Ripley Ave / Ormskirk Ave - SMART,High Park-Swansea 
Yonge St / Golfdale Rd - SMART,Lawrence Park North 
Glebe Rd W / Yonge St - SMART,Yonge-Eglinton 
Durie St / Dundas St W - SMART,Runnymede-Bloor West Village 
20 Charles St E - SMART,Church-Yonge Corridor 
Blake St / Boultbee Ave - SMART,Blake-Jones 
Bloor St W / Pacific Ave - SMART,High Park North 
Lake Shore Blvd W / Colborne Lodge Dr - SMART,South Parkdale 
