,Station Id,Station Name,Neighbourhood
0,7000,Fort York  Blvd / Capreol Ct,Waterfront Communities-The Island 
1,7001,Wellesley Station Green P,Church-Yonge Corridor 
2,7002,St. George St / Bloor St W,University 
3,7003,Madison Ave / Bloor St W,Annex 
4,7004,University Ave / Elm St,Kensington-Chinatown 
5,7005,King St W / York St,Bay Street Corridor 
6,7006,Bay St / College St (East Side),Bay Street Corridor 
7,7007,College St / Huron St,Kensington-Chinatown 
8,7008,Wellesley St / Queen's Park Cres,Bay Street Corridor 
9,7009,King St E / Jarvis St,Church-Yonge Corridor 
10,7010,King St W / Spadina Ave,Waterfront Communities-The Island 
11,7011,Wellington St W / Portland St,Waterfront Communities-The Island 
12,7012,Elizabeth St / Edward St (Bus Terminal),Bay Street Corridor 
13,7013,Scott St / The Esplanade,Waterfront Communities-The Island 
14,7014,Sherbourne St / Carlton St (Allan Gardens),Moss Park 
15,7015,King St W / Bay St (West Side),Bay Street Corridor 
16,7016,Bay St / Queens Quay W (Ferry Terminal),Waterfront Communities-The Island 
17,7017,Widmer St / Adelaide St W,Waterfront Communities-The Island 
18,7018,Bremner Blvd / Rees St,Waterfront Communities-The Island 
19,7019,Temperance St. Station,Bay Street Corridor 
20,7020,Phoebe St / Spadina Ave,Kensington-Chinatown 
21,7021,Bay St / Albert St,Bay Street Corridor 
22,7022,Simcoe St / Queen St W,Bay Street Corridor 
23,7023,College St / Borden St,University 
24,7024,Dundonald St / Church St,Church-Yonge Corridor 
25,7025,Ted Rogers Way / Bloor St E,Church-Yonge Corridor 
26,7026,Bay St / St. Joseph St,Bay Street Corridor 
27,7027,Beverley  St / Dundas St W,Kensington-Chinatown 
28,7028,Gould St / Mutual St,Church-Yonge Corridor 
29,7029,Bay St / Bloor St W (East Side),Bay Street Corridor 
30,7030,Bay St / Wellesley St W,Bay Street Corridor 
31,7031,Jarvis St / Isabella St,North St.James Town 
32,7032,Augusta Ave / Dundas St W,Kensington-Chinatown 
33,7033,Union Station,Waterfront Communities-The Island 
34,7034,Church St / Bloor St E,Rosedale-Moore Park 
35,7035,Queen St W / Ossington Ave,Niagara 
36,7036,Trinity St /Front St E,Waterfront Communities-The Island 
37,7037,Bathurst St / Dundas St W,Kensington-Chinatown 
